Year,Age,Sex,Name,Movie
1958,41,F,Susan Hayward,I Want to Live!
1959,39,F,Simone Signoret,Room at the Top
1960,29,F,Elizabeth Taylor,BUtterfield 8
1961,27,F,Sophia Loren,Two Women
1962,31,F,Anne Bancroft,The Miracle Worker
1963,31,F,Patricia Neal,Hud
1964,29,F,Julie Andrews,Mary Poppins
1965,25,F,Julie Christie,Darling
1966,35,F,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1967,60,F,Katharine Hepburn,Guess Who's Coming to Dinner
1968,61,F,Katharine Hepburn,The Lion in Winter
1969,26,F,Barbra Streisand,Funny Girl
1970,35,F,Maggie Smith,The Prime of Miss Jean Brodie
1971,34,F,Glenda Jackson,Women in Love
1972,34,F,Jane Fonda,Klute
1973,27,F,Liza Minnelli,Cabaret
1974,37,F,Glenda Jackson,A Touch of Class
1975,42,F,Ellen Burstyn,Alice Doesn't Live Here Anymore
1976,41,F,Louise Fletcher,One Flew Over the Cuckoo's Nest
1977,36,F,Faye Dunaway,Network
1978,32,F,Diane Keaton,Annie Hall
1979,41,F,Jane Fonda,Coming Home
1980,33,F,Sally Field,Norma Rae
1981,31,F,Sissy Spacek,Coal Miner's Daughter
1982,74,F,Katharine Hepburn,On Golden Pond
1983,33,F,Meryl Streep,Sophie's Choice
1984,49,F,Shirley MacLaine,Terms of Endearment
1985,38,F,Sally Field,Places in the Heart
1986,61,F,Geraldine Page,The Trip to Bountiful
1987,21,F,Marlee Matlin,Children of a Lesser God
1988,41,F,Cher,Moonstruck
1989,26,F,Jodie Foster,The Accused
1990,80,F,Jessica Tandy,Driving Miss Daisy
1991,42,F,Kathy Bates,Misery
1992,29,F,Jodie Foster,The Silence of the Lambs
1993,33,F,Emma Thompson,Howards End
1994,36,F,Holly Hunter,The Piano
1995,45,F,Jessica Lange,Blue Sky
1996,49,F,Susan Sarandon,Dead Man Walking
1997,39,F,Frances McDormand,Fargo
1998,34,F,Helen Hunt,As Good as It Gets
1999,26,F,Gwyneth Paltrow,Shakespeare in Love
2000,25,F,Hilary Swank,Boys Don't Cry
2001,33,F,Julia Roberts,Erin Brockovich
2002,35,F,Halle Berry,Monster's Ball
2003,35,F,Nicole Kidman,The Hours
2004,28,F,Charlize Theron,Monster
2005,30,F,Hilary Swank,Million Dollar Baby
2006,29,F,Reese Witherspoon,Walk the Line
2007,61,F,Helen Mirren,The Queen
2008,32,F,Marion Cotillard,La Vie en rose
2009,33,F,Kate Winslet,The Reader
2010,45,F,Sandra Bullock,The Blind Side
2011,29,F,Natalie Portman,Black Swan
2012,62,F,Meryl Streep,The Iron Lady
2013,22,F,Jennifer Lawrence,Silver Linings Playbook
2014,44,F,Cate Blanchett,Blue Jasmine
2015,54,F,Julianne Moore,Still Alice
2016,26,F,Brie Larson,Room
